Nombre del aeropuerto;IATA;OACI;Ciudad / ubicación;Departamento
Aeropuerto San Pedro de Urabá;NPD;SK-021;San Pedro de Urabá;Antioquia
Aeropuerto La Arrobleda;CTO;SK-138;Santander de quilichao;Cauca
Aeropuerto El Triunfo;;SK-415;Puerto Triunfo;Antioquia
Aeropuerto de Araracuara;ACR;SKAC;Araracuara (Solano);Caquetá
Aeropuerto Alcides Fernández;ACD;SKAD;Acandí;Chocó
Aeropuerto La Majayura;MCJ;SKAO;Maicao;La Guajira
Aeropuerto Internacional El Edén;AXM;SKAR;Armenia / La Tebaida;Quindío
Aeropuerto Tres de Mayo;PUU;SKAS;Puerto Asís;Putumayo
Aeropuerto Internacional Palonegro ;BGA;SKBG;Bucaramanga / Lebrija;Santander
Aeropuerto Internacional El Dorado;BOG;SKBO;Bogotá;Distrito Capital
Terminal Puente Aéreo;BOG;SKBO;Bogotá;Distrito Capital
Aeropuerto Internacional Ernesto Cortissoz;BAQ;SKBQ;Barranquilla / Soledad;Atlántico
Aeropuerto José Celestino Mutis;BSC;SKBS;Bahía Solano;Chocó
Aeropuerto Gerardo Tobar López;BUN;SKBU;Buenaventura;Valle del Cauca
Aeropuerto de Capurganá;CPB;SKCA;Capurganá;Chocó
Aeropuerto Internacional Camilo Daza;CUC;SKCC;Cúcuta;Norte de Santander
Aeropuerto Mandinga;COG;SKCD;Condoto;Chocó
Aeropuerto Internacional Rafael Núñez ;CTG;SKCG;Cartagena;Bolívar
Aeropuerto Internacional Alfonso Bonilla Aragón ;CLO;SKCL;Cali / Palmira;Valle del Cauca
Aeropuerto Cravo Norte;RAV;SKCN;Cravo Norte;Arauca
Aeropuerto La Florida;TCO;SKCO;Tumaco;Nariño
Aeropuerto Juan H. White;CAQ;SKCU;Caucasia;Antioquia
Aeropuerto Las Brujas;CZU;SKCZ;Sincelejo / Corozal;Sucre
Aeropuerto El Tomin;EBG;SKEB;El Bagre;Antioquia
Aeropuerto Yariguíes;EJA;SKEJ;Barrancabermeja;Santander
Aeropuerto Gustavo Artunduaga;FLA;SKFL;Florencia;Caquetá
Base Aérea Marco Fidel Suárez;;SKGB;Santiago de Cali;Valle del Cauca
Aeropuerto Santiago Vila;GIR;SKGI;Girardot / Flandes;Cundinamarca / Tolima
Aeropuerto Santa Ana;CRC;SKGO;Cartago;Valle del Cauca
Aeropuerto Juan Casiano;GPI;SKGP;Guapi;Cauca
Aeropuerto Guaymaral;GYM;SKGY;Bogotá D. C. / Chía;Cundinamarca
Aeropuerto Perales;IBE;SKIB;Ibagué;Tolima
Aeropuerto Jaime Ortís Betancur;IGO;SKIG;Chigorodó;Antioquia
Aeropuerto San Luis;IPI;SKIP;Ipiales / Aldana;Nariño
Aeropuerto Antonio Roldán Betancourt;APO;SKLC;Apartadó / Carepa;Antioquia
Aeropuerto Caucaya;LQM;SKLG;Puerto Leguízamo;Putumayo
Aeropuerto Jorge Isaacs;MCJ;SKLM;Maicao;La Guajira
Base Aérea Larandia;;SKLR;Florencia;Caquetá
Aeropuerto Internacional Alfredo Vásquez Cobo;LET;SKLT;Leticia;Amazonas
Base Aérea de Madrid;;SKMA;Madrid;Cundinamarca
Aeropuerto Olaya Herrera;EOH;SKMD;Medellín;Antioquia
Aeropuerto Baracoa de Magangué;MGN;SKMG;Magangué;Bolívar
Aeropuerto El Pindo;MTB;SKML;Montelíbano;Córdoba
Aeropuerto Los Garzones;MTR;SKMR;Montería;Córdoba
Aeropuerto Fabio Alberto León Bentley;MVP;SKMU;Mitú;Vaupés
Aeropuerto de La Nubia;MZL;SKMZ;Manizales;Caldas
Aeropuerto de Necoclí;NCI;SKNC;Necoclí;Antioquia
Aeropuerto Reyes Murillo;NQU;SKNQ;Nuquí;Chocó
Aeropuerto Benito Salas;NVA;SKNV;Neiva;Huila
Aeropuerto Aguas Claras;OCV;SKOC;Ocaña;Norte de Santander
Aeropuerto de Otú;OTU;SKOT;Remedios;Antioquia
Aeropuerto Juan José Rondón;PYA;SKPA;Paipa;Boyacá
Aeropuerto Puerto Bolívar;URA;SKPB;Puerto Bolívar / Uribia;La Guajira
Aeropuerto Germán Olano;PCR;SKPC;Puerto Carreño;Vichada
Aeropuerto César Gaviria Trujillo;PDA;SKPD;Puerto Inírida;Guainía
Aeropuerto Internacional Matecaña;PEI;SKPE;Pereira;Risaralda
Aeropuerto Morelia;PGT;SKPG;Puerto Gaitán;Meta
Aeropuerto Contador;PTX;SKPI;Pitalito;Huila
Aeropuerto Guillermo León Valencia;PPN;SKPP;Popayán;Cauca
Base Aérea Germán Olano (Palanquero);PAL;SKPQ;Puerto Salgar;Cundinamarca
Aeropuerto Antonio Nariño;PSO;SKPS;Pasto / Chachagüí;Nariño
Aeropuerto El Embrujo;PVA;SKPV;Providencia;San Andrés y Providencia
Aeropuerto Mariquita;MQU;SKQU;Mariquita;Tolima
Aeropuerto Internacional José María Córdova;MDE;SKRG;Medellín / Rionegro;Antioquia
Aeropuerto Internacional Almirante Padilla;RCH;SKRH;Riohacha;La Guajira
Aeropuerto Los Colonizadores;RVE;SKSA;Saravena;Arauca
Aeropuerto Los Pozos;SGL;SKSG;San Gil;Santander
Aeropuerto Jorge Enrique González;SJE;SKSJ;San José del Guaviare;Guaviare
Aeropuerto Internacional Simón Bolívar ;SMR;SKSM;Santa Marta;Magdalena
Aeropuerto Alberto Lleras Camargo;SOX;SKSO;Sogamoso;Boyacá
