Código_aeropuerto,Nombre_aeropuerto
EJC,Aeropuerto de Yacopí
SKAC,Aeropuerto Acandí
SKAD,Aeropuerto Alcides Fernández (Acandí)
SKAG,Aeropuerto Las Flores (Aguachica)
SKAM,Aeropuerto Ambalema
SKAP,Aeropuerto Arauca (Luis F. Gómez Niño)
SKAR,Aeropuerto El Edén (Armenia)
SKAS,Aeropuerto Tres de Mayo (Puerto Asís)
SKBC,Aeropuerto El Caraño (Quibdó) / Bahía Cupica
SKBG,Aeropuerto Palonegro (Bucaramanga)
SKBM,Aeropuerto Yariguíes (Barrancabermeja)
SKBN,Aeropuerto Barrancominas
SKBO,Aeropuerto Internacional El Dorado (Bogotá)
SKBQ,Aeropuerto Internacional Ernesto Cortissoz (Barranquilla)
SKBS,Aeropuerto José Celestino Mutis (Bahía Solano)
SKBU,Aeropuerto Gerardo Tobar López (Buenaventura)
SKCC,Aeropuerto Alfonso López Pumarejo (Cúcuta)
SKCD,Aeropuerto Mandinga (Condoto)
SKCG,Aeropuerto Internacional Rafael Núñez (Cartagena)
SKCI,Aeropuerto Capurganá
SKCL,Aeropuerto Alfonso Bonilla Aragón (Cali)
SKCM,Aeropuerto La Chorrera
SKCN,Aeropuerto Camilo Daza / Cañaveral
SKCO,Aeropuerto Los Garzones (Montería)
SKCR,Aeropuerto Carurú
SKCU,Aeropuerto Juan H. White (Caucasia)
SKCV,Aeropuerto Clemente (Coveñas)
SKCZ,Aeropuerto Las Brujas (Corozal)
SKEB,Aeropuerto El Bagre
SKEJ,Aeropuerto Yariguíes / El Yopal
SKFL,Aeropuerto Gustavo Artunduaga Paredes (Florencia)
SKFP,Aeropuerto La Macarena
SKGB,Aeropuerto El Bordo (Patía)
SKGI,Aeropuerto Mariquita (Santiago Vila)
SKGO,Aeropuerto Santa Ana (Cartago)
SKGP,Aeropuerto Juan Casiano (Guapi)
SKGY,Aeropuerto Guaymaral (Bogotá)
SKGZ,Aeropuerto Las Margaritas (El Retorno)
SKHA,Aeropuerto Hacaritama (Aguaclara)
SKHL,Aeropuerto Helicoidal
SKHZ,Aeropuerto Hato Corozal
SKIB,Aeropuerto El Torito (Ibagué)
SKIM,Aeropuerto Santa Marta / Isla de Mompós
SKIP,Aeropuerto San Luis (Ipiales)
SKIR,Aeropuerto Obando (Puerto Inírida)
SKJC,Aeropuerto Jorge Isaacs (La Mina)
SKLC,Aeropuerto Antonio Roldán Betancourt (Carepa)
SKLG,Aeropuerto La Uribe
SKLM,Aeropuerto Jorge Isaacs (La Mina / Maicao)
SKLP,Aeropuerto La Pedrera
SKLR,Aeropuerto Las Lomas (Saravena)
